Opportunity_ID,Target
10689,0.84832454
10690,0.20293078
10691,0.84246814
10692,0.58790874
10693,0.9965064
10694,0.9965064
10695,0.7200785
10696,0.8111752
10697,0.6542182
10698,0.9705866
10699,0.9388557
10700,0.8111752
10701,0.91773164
10702,0.9705866
10703,0.91992605
10704,0.9958696
10705,0.95909595
10706,0.59420425
10707,0.037236232
10708,0.90584385
10709,0.014084264
10710,0.9952618
10711,0.99515694
10712,0.7929864
10713,0.99995303
10714,0.97814894
10715,0.57018906
10716,0.91628736
10717,0.92936754
10718,0.4788127
10719,0.82907546
10720,0.15006983
10721,0.465861
10722,0.61648893
10723,0.51994157
10724,0.864558
10725,0.9988564
10726,0.8045993
10727,0.7044557
10728,0.005809936
10729,0.000408255
10730,0.9631587
10731,0.23264135
10732,0.91992605
10733,0.5347897
10734,0.8394879
10735,0.90916735
10736,0.985145
10737,0.8640282
10738,0.7173361
10739,0.592774
10740,0.00026948893
10741,0.938198
10742,0.84592205
10743,0.9975069
10744,0.9975069
10745,0.9975069
10746,0.9975069
10747,0.9975069
10748,0.7583287
10749,0.8984926
10750,0.99422896
10751,0.00062290195
10752,0.00062290195
10753,0.0003812545
10754,0.9496702
10755,0.85427314
10756,0.9527084
10757,0.92174876
10758,0.8350971
10759,0.48579416
10760,0.20326605
10761,0.99123573
10762,0.8842246
10763,0.95742583
10764,0.9612059
10765,0.83925414
10766,0.83137554
10767,0.83137554
10768,0.68107265
10769,0.99842453
10770,0.9983254
10771,0.4087242
10772,0.8004001
10773,0.8662961
10774,0.6352647
10775,0.20243436
10776,0.1371965
10777,0.9998746
10778,0.7437852
10779,0.99368227
10780,0.8296863
10781,0.77078813
10782,0.38617054
10783,0.37586847
10784,0.9101516
10785,0.04320837
10786,4.1382133e-05
10787,0.98932695
10788,0.00086176733
10789,0.76208454
10790,0.82983124
10791,0.8356233
10792,0.38305163
10793,0.94882864
10794,0.94882864
10795,0.9612059
10796,5.1329794e-06
10797,0.00015052635
10798,0.96318674
10799,0.55793554
10800,0.00016809646
10801,1.5747877e-05
10802,0.86736476
10803,0.00012627237
10804,0.901343
10805,1.7642404e-05
10806,0.98995274
10807,0.15080796
10808,0.8203697
10809,0.38358906
10810,4.570125e-07
10811,0.43600777
10812,0.23916884
10813,0.6480481
10814,0.6480481
10815,0.4872475
10816,0.8389385
10817,0.00014977313
10818,0.91160554
10819,0.86207676
10820,0.910289
10821,0.75214833
10822,0.5975136
10823,0.9516602
10824,0.1937517
10825,0.9999058
10826,0.87814844
10827,0.9912697
10828,0.94720566
10829,0.8588792
10830,2.9999755e-05
10831,0.253734
10832,0.1299812
10833,4.0729363e-05
10834,0.26643056
10835,0.7340617
10836,0.51597834
10837,0.97268146
10838,5.846507e-05
10839,0.0027638804
10840,0.36018074
10841,0.00030384265
10842,0.92909175
10843,0.92909175
